,depth below surface (mm),pex_x,pex_y,pex_z,mean_pex (mm),pc_x,pc_y,pc_z ,mean_pc (mm),phi_i,rho (kgm-3),ssa (mm-1),,,pex [(px+py+pz)/3] (mm),Aniso [(pex_x+pex_y)/2]/pex_z
'D0001412_GREY_TOP17_corr.dat',148.48,0.10753611,0.113701259,0.092985323,0.101802003,0.149592567,0.157430454,0.129905937,0.141708724,0.184619,169.295623,23.0156896,,,0.104741139,1.189635968
'D0001412_GREY_TOP18_corr.dat',149.76,0.110832914,0.123844063,0.092994112,0.1051663,0.152142131,0.16098147,0.126739765,0.141650783,0.160384,147.072128,23.70946307,,,0.109223847,1.261784058
'D0001412_GREY_TOP19_corr.dat',151.04,0.116760717,0.119313913,0.084786994,0.101412154,0.151787722,0.156594558,0.118810491,0.136500815,0.168993,154.966581,24.35170802,,,0.106953467,1.39216299
'D0001412_GREY_TOP20_corr.dat',152.32,0.10643244,0.105464368,0.078155423,0.092051913,0.141637307,0.146335261,0.114539342,0.129262813,0.220825,202.496525,24.11134282,,,0.096684287,1.355611687
'D0001412_GREY_TOP21_corr.dat',153.6,0.099680432,0.098316802,0.077439593,0.088219105,0.141731364,0.144798244,0.118634069,0.130949437,0.251072,230.233024,22.87686054,,,0.091812271,1.27839795
'D0001412_GREY_BOT00_corr.dat',154.88,0.103669912,0.099071849,0.077282265,0.089326573,0.145577885,0.142939533,0.115170931,0.12971482,0.215015,197.168755,24.20648618,,,0.093341423,1.311696552
'D0001412_GREY_BOT01_corr.dat',156.16,0.09768824,0.096252662,0.078338584,0.087654518,0.143773314,0.142658969,0.118841745,0.131028943,0.23614,216.54038,23.31881742,,,0.090759828,1.237837684
'D0001412_GREY_BOT02_corr.dat',157.44,0.106905093,0.108356364,0.084895957,0.096263343,0.153468131,0.153773961,0.124651538,0.139136292,0.203432,186.547144,22.90036587,,,0.100052677,1.267795689
'D0001412_GREY_BOT03_corr.dat',158.72,0.123701329,0.130925921,0.083675924,0.105494775,0.165653079,0.16660238,0.124352225,0.145239977,0.185636,170.228212,22.42809492,,,0.112768811,1.521508446
'D0001412_GREY_BOT04_corr.dat',160,0.12665071,0.132173698,0.08651442,0.107963312,0.168839706,0.168765743,0.126539662,0.147671193,0.190322,174.525274,21.93191461,,,0.115113891,1.495845475
'D0001412_GREY_BOT05_corr.dat',161.28,0.118859491,0.119096984,0.091337331,0.105157785,0.165392146,0.164885384,0.130521919,0.147830342,0.176421,161.778057,22.28443743,,,0.109765204,1.302624413
'D0001412_GREY_BOT06_corr.dat',162.56,0.120020692,0.122145624,0.09069947,0.105891314,0.165790032,0.165089757,0.129135463,0.147287679,0.169404,155.343468,22.55710752,,,0.110955225,1.334992998
'D0001412_GREY_BOT07_corr.dat',163.84,0.117151812,0.122769801,0.090692731,0.105326768,0.16283577,0.163689188,0.12787717,0.145569824,0.173917,159.481889,22.69929237,,,0.11020432,1.32271689
'D0001412_GREY_BOT08_corr.dat',165.12,0.108621845,0.117365815,0.089998833,0.101496331,0.156735337,0.159672342,0.126574994,0.142389417,0.182381,167.243377,22.9685329,,,0.10532855,1.255503282
